No,Title,Artist,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,GENRE,KATEGORI EMOSI,Cover_url
424,It's Only Me - Studio Version,Kaleb J,120,30,60,-13,32,3:25,31,R&B,relaxed,https://lh3.googleusercontent.com/u/0/d/1bGse0kXkgNQFhwkwgEtn2BKCA-oM2Emg
425,You Belong With Me (Taylor’s Version),Taylor Swift,130,77,63,-5,47,3:48,6,Pop,happy,https://lh3.googleusercontent.com/u/0/d/1ELK1tqvvVi-hRzyw9lK33Nsb0_crmJAV
426,Ekspektasi,Aruma,76,38,49,-10,18,5:04,87,Pop Indo,sad,https://lh3.googleusercontent.com/u/0/d/1cR2pP7gqb9n1qi-IvGHmED7ZGX6wrhzO
427,i've always loved you,Arash Buana,174,21,35,-14,11,5:12,87,Pop Indo,relaxed,https://lh3.googleusercontent.com/u/0/d/1IphvQZHYHA-sYtZ5iSR4ahRV1Vr2UHH3
428,Daylight,Taylor Swift,150,50,56,-10,27,4:54,81,Pop,relaxed,https://lh3.googleusercontent.com/u/0/d/1NlgzLmjmlHsRBUPezQ6VBu8JbzHhzMUo
429,august,Taylor Swift,90,62,53,-9,40,4:23,54,Pop,sad,https://lh3.googleusercontent.com/u/0/d/16wlsEikwrszBRWg72GTl704_jI2gODKA
430,You & I,One Direction,131,33,57,-7,36,3:04,22,Pop,relaxed,https://lh3.googleusercontent.com/u/0/d/1Y22ICE3Y1h-YsdeDEbZeGs-fvYOaNiRo
431,Wide Awake,Katy Perry,160,68,51,-5,56,3:31,8,Pop,sad,https://lh3.googleusercontent.com/u/0/d/1VKQecS-e2K6_SEZmqw2KvvtxIM_WG87I
432,La La Lost You - Acoustic Version,NIKI,101,20,62,-12,39,3:27,91,R&B,sad,https://lh3.googleusercontent.com/u/0/d/18tOqYtBG8iEWCKW-PaN_yRDddcm4-akr
433,Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,126,74,67,-5,57,3:53,24,Pop,angry,https://lh3.googleusercontent.com/u/0/d/10Gvmn1sTdX3f_ae3fntBcnxnCTLBWvJS
434,I Don't Know Anymore,Aziz Hedra,132,53,45,-8,18,3:51,54,Pop Indo,sad,https://lh3.googleusercontent.com/u/0/d/1nRdFcBM6XuT0vC35HzICd7ugR4HCwbZB
435,we can't be friends (wait for your love),Ariana Grande,116,65,65,-8,30,3:48,6,Pop,relaxed,https://lh3.googleusercontent.com/u/0/d/1gdaUqW7ztPCIsJ5Ss6JNNqKAyY4OXb2e
436,Somebody's Pleasure,Aziz Hedra,117,49,63,-7,24,3:53,85,Pop Indo,sad,https://lh3.googleusercontent.com/u/0/d/111A6dIRmbKAAkTtswayZNWUP6ID5sefV
